City,Direction,MAE,RMSE,R2
Bialystok,Buy -> Rent,0.13463894849928834,0.17339962420096322,0.1297910503494092
Bialystok,Rent -> Buy,0.13756521758117043,0.16251184718802292,0.25057167502176036
Bydgoszcz,Buy -> Rent,0.10986657738403066,0.1535325756591024,0.3609272344364032
Bydgoszcz,Rent -> Buy,0.11658596805093474,0.15422770830269822,0.363528655578779
Czestochowa,Buy -> Rent,0.1306180987506737,0.16631301911737745,0.38402142441933806
Czestochowa,Rent -> Buy,0.1132125681888234,0.14356461297526346,0.4049467618270798
Gdansk,Buy -> Rent,0.0734390141773557,0.10293520298824646,0.6487057529330504
Gdansk,Rent -> Buy,0.09745654896197031,0.13297620717992906,0.268516263978651
Gdynia,Buy -> Rent,0.10808698861730179,0.15398008434949711,0.339484394096887
Gdynia,Rent -> Buy,0.11390114101003967,0.14792191795938606,0.07284196030472834
Katowice,Buy -> Rent,0.11099146667842656,0.14246974976621604,0.3946289295142158
Katowice,Rent -> Buy,0.1145513233078853,0.14236089079863756,0.2786035370318992
Krakow,Buy -> Rent,0.06780968677917436,0.09138252421013375,0.6474759884941783
Krakow,Rent -> Buy,0.06367601661028427,0.08990134377115369,0.6080502826970866
Lodz,Buy -> Rent,0.09123281057574376,0.11971986281917714,0.4806731444052772
Lodz,Rent -> Buy,0.084541963241105,0.11066698215722942,0.6491919582454408
Lublin,Buy -> Rent,0.12403985072857915,0.15696454635456936,0.28268565832586556
Lublin,Rent -> Buy,0.10137399825003146,0.13076072945275186,0.318757366151978
Poznan,Buy -> Rent,0.09628281546010391,0.139318587482389,0.371498551723923
Poznan,Rent -> Buy,0.09181186350236012,0.1271100959234915,0.306357558881586
Radom,Buy -> Rent,0.20851065183342846,0.2531092937564392,-0.40634832744172056
Radom,Rent -> Buy,0.22553612498837047,0.25862224394228167,-1.505189982981729
Rzeszow,Buy -> Rent,0.1609756528311112,0.19548839302421397,-0.34770890900004403
Rzeszow,Rent -> Buy,0.17696818991290025,0.20457474393486566,-0.683469894532418
Szczecin,Buy -> Rent,0.11645788269962044,0.1596033666295558,0.3493907448496607
Szczecin,Rent -> Buy,0.13101190838505408,0.1697569572918875,-0.27147093255511634
Warszawa,Buy -> Rent,0.1532242778760794,0.1800641871813861,-0.6120206378156188
Warszawa,Rent -> Buy,0.12990367473684555,0.15820787660240015,-0.05354080685750695
Wroclaw,Buy -> Rent,0.09923679895721217,0.12161760174139465,0.4619548028274534
Wroclaw,Rent -> Buy,0.092014594815532,0.11825973058103313,0.3766214795317093
