Zbiór,Miejscowość,Najlepszy Regresor,Średni R2 Lidera,Średnia Ranga Lidera,Statystycznie równorzędne modele,P-value Friedmana
Kupno (Sale),Bialystok,Random Forest,0.9103557910195612,1.0,Brak (Lider dominuje samodzielnie),6.097700205295569e-08
Kupno (Sale),Bydgoszcz,Random Forest,0.9353308192924571,1.0,Brak (Lider dominuje samodzielnie),4.328422607120966e-08
Kupno (Sale),Czestochowa,Random Forest,0.9231889400094987,1.0,Brak (Lider dominuje samodzielnie),4.328422607120966e-08
Kupno (Sale),Gdansk,Random Forest,0.9508187246311804,1.0,Brak (Lider dominuje samodzielnie),4.328422607120966e-08
Kupno (Sale),Gdynia,Random Forest,0.9578745312230611,1.1,Brak (Lider dominuje samodzielnie),6.097700205295569e-08
Kupno (Sale),Katowice,Random Forest,0.9147557997392433,1.0,Brak (Lider dominuje samodzielnie),4.328422607120966e-08
Kupno (Sale),Krakow,Random Forest,0.9493225800391905,1.0,Brak (Lider dominuje samodzielnie),4.328422607120966e-08
Kupno (Sale),Lodz,Random Forest,0.9312686293552016,1.0,Brak (Lider dominuje samodzielnie),4.328422607120966e-08
Kupno (Sale),Lublin,Random Forest,0.9286079688867914,1.0,Brak (Lider dominuje samodzielnie),4.328422607120966e-08
Kupno (Sale),Poznan,Random Forest,0.9192434094889379,1.0,Brak (Lider dominuje samodzielnie),4.328422607120966e-08
Kupno (Sale),Radom,Random Forest,0.9390856607711193,1.1,Decision Tree,1.5184628535084448e-07
Kupno (Sale),Rzeszow,Random Forest,0.9104153070035348,1.3,Decision Tree,3.7723121732134055e-07
Kupno (Sale),Szczecin,Random Forest,0.913087561340377,1.0,Brak (Lider dominuje samodzielnie),4.328422607120966e-08
Kupno (Sale),Warszawa,Random Forest,0.9481328686267038,1.0,Brak (Lider dominuje samodzielnie),4.328422607120966e-08
Kupno (Sale),Wroclaw,Random Forest,0.9135107233507098,1.0,Brak (Lider dominuje samodzielnie),4.328422607120966e-08
Wynajem (Rent),Bialystok,Random Forest,0.7392546440532256,1.5,"Gradient Boosting, Decision Tree",6.605459954609622e-06
Wynajem (Rent),Bydgoszcz,Random Forest,0.8284595180795871,1.0,Brak (Lider dominuje samodzielnie),1.2090318351810092e-07
Wynajem (Rent),Czestochowa,Random Forest,0.795831936246165,1.2,Decision Tree,2.682465453527493e-07
Wynajem (Rent),Gdansk,Random Forest,0.9021781895048552,1.0,Brak (Lider dominuje samodzielnie),9.625166581140252e-08
Wynajem (Rent),Gdynia,Random Forest,0.8851681130434594,1.1,Brak (Lider dominuje samodzielnie),1.5184628535084448e-07
Wynajem (Rent),Katowice,Random Forest,0.8533927462238557,1.0,Brak (Lider dominuje samodzielnie),9.346896737923134e-07
Wynajem (Rent),Krakow,Random Forest,0.895350943441955,1.0,Brak (Lider dominuje samodzielnie),4.328422607120966e-08
Wynajem (Rent),Lodz,Random Forest,0.8496330167213966,1.0,Brak (Lider dominuje samodzielnie),1.0787747724399687e-07
Wynajem (Rent),Lublin,Random Forest,0.7700359004812729,1.0,Brak (Lider dominuje samodzielnie),3.0054495209118297e-07
Wynajem (Rent),Poznan,Random Forest,0.8404214483534563,1.0,Brak (Lider dominuje samodzielnie),4.916603119008508e-07
Wynajem (Rent),Radom,Random Forest,0.8461603431254762,1.6,"Gradient Boosting, Decision Tree",9.346896737923134e-07
Wynajem (Rent),Rzeszow,Random Forest,0.8163956592686251,1.4,Decision Tree,6.653293209582485e-07
Wynajem (Rent),Szczecin,Random Forest,0.8388850326344922,1.0,Brak (Lider dominuje samodzielnie),2.582687590754695e-07
Wynajem (Rent),Warszawa,Random Forest,0.9470994851962894,1.0,Brak (Lider dominuje samodzielnie),4.328422607120966e-08
Wynajem (Rent),Wroclaw,Random Forest,0.9057477609974345,1.0,Brak (Lider dominuje samodzielnie),6.097700205295569e-08
